"","SITE_ID","AG_ECO9","ecoregion_3","total_N","total_P","chloride","sulfate","ANC","DOC","turbidity","RDI","pct_fine","total_N_ug","chloride_ueq","sulfate_ueq","pass_nap","pass_sap","ref_cond","val_cond"
"36","NRS18_KY_10001","SAP",71,0.325,129.163,14.035,20.982,4859.29,1.47,31.6,0.393959091,16.19047619,325,395.909732016925,436.8519675203,4,4,"NON-REF","V"
"37","NRS18_NJ_10183","NAP",58,1.649,21.688,154.626,9.719,775.76,1.7,0.53,2.712168182,1.904761905,1649,4361.80535966149,202.352696231522,4,4,"NON-REF","C"
"38","NRS18_VT_10002","NAP",59,0.41,10.288,16.705,5.709,906.15,2.37,1.41,1.685095238,100,410,471.227080394922,118.863210493442,7,6,"NON-REF","C"
"39","NRS18_KY_10008","SAP",71,1.437,106.325,20.793,53.416,1721.35,2.29,29.05,0.136363636,NA,1437,586.54442877292,1112.138246929,NA,NA,"NON-REF","C"
"40","NRS18_SC_10011","SAP",45,0.321,45.163,2.094,1.607,229.32,1.22,15.1,0.181827273,100,321,59.0691114245416,33.458255257131,5,5,"NON-REF","C"
"41","NRS18_SC_10007","SAP",45,0.693,23.926,4.832,1.148,399.45,1.14,12.74,0.318190909,0,693,136.304654442877,23.9017280866125,6,6,"NON-REF","C"
"42","NRS18_VT_10016","NAP",58,0.206,10.288,12.327,5.232,420.96,1.05,0.36,2.742463636,0,206,347.729196050776,108.93191755153,6,6,"NON-REF","C"
"43","NRS18_NH_10010","NAP",58,0.451,24.288,26.418,3.723,225.74,4.06,1.67,0.090913636,32,451,745.218617771509,77.5140537164272,5,5,"NON-REF","V"
"44","NRS18_NC_10020","SAP",45,0.73,70,14.7,3.4,NA,9.8,8,0.773815584,0,730,414.668547249647,70.7890901519883,5,5,"NON-REF","C"
"45","NRS18_SC_10008","SAP",45,0.532,28.288,5.469,3.945,332.04,2.05,3.51,0.030304545,11,532,154.273624823695,82.1361648969394,7,7,"NON-REF","V"
"46","NRS18_GA_10024","SAP",45,0.238,24.801,1.945,0.822,165.76,0.77,5.32,0,8.571428571,238,54.8660084626234,17.1143035602748,6,6,"NON-REF","V"
"47","NRS18_CT_10031","NAP",59,0.726,25.176,34.597,11.318,841.04,1.14,0.27,0.363636364,2.857142857,726,975.937940761636,235.644388923589,7,6,"NON-REF","V"
"48","NRS18_CT_10001","NAP",59,0.354,15.788,2.518,4.513,594.46,1.13,0.19,0.030304545,1.904761905,354,71.0296191819464,93.962107016448,8,8,"REF","C"
"49","NRS18_TN_10029","SAP",71,0.751,242.913,4.179,7.984,3214.81,3.04,11.74,0.5989625,16.92307692,751,117.884344146685,166.229439933375,5,5,"NON-REF","C"
"50","NRS18_NY_10017","NAP",62,1.037,57.788,40.797,8.604,2434.09,1.83,6.04,3.265218182,0,1037,1150.83215796897,179.138038725796,3,3,"NON-REF","C"
"51","NRS18_PA_10015","SAP",67,1.287,14.288,16.046,119.995,443.47,0.88,1.7,1.750022727,13.33333333,1287,452.637517630465,2498.33437434937,5,5,"NON-REF","V"
"52","NRS18_OK_10038","SAP",39,1.221,34,5.21,5.56,1810,0.83,1.5,0,0.952380952,1221,146.967559943583,115.760982719134,6,6,"NON-REF","C"
"53","NRS18_DE_10016","SAP",64,3.671,53.538,41.774,19.82,1242.97,1.09,1.19,0.984863636,1.904761905,3671,1178.39210155148,412.658754944826,4,4,"NON-REF","C"
"54","NRS18_WV_10002","SAP",70,1.028,60.695,21.696,60.593,1153.93,2.68,23.58,1.121240909,0,1028,612.016925246826,1261.5656881116,3,3,"NON-REF","V"
"55","NRS18_VT_10023","NAP",58,0.236,12.91,2.171,3.604,985.57,1.96,2.17,1.87592316,0,236,61.2411847672779,75.0364355611076,8,8,"REF","V"
"56","NRS18_PA_10026","SAP",67,0.711,15.695,8.68,59.632,540.97,1.66,4.59,1.604317749,0,711,244.851904090268,1241.55735998334,7,6,"NON-REF","V"
"57","NRS18_NJ_10005","NAP",58,2.287,40.913,43.458,10.477,651.68,1.26,1.4,1.712181818,3.80952381,2287,1225.89562764457,218.134499271289,5,5,"NON-REF","C"
"58","NRS18_NH_10005","NAP",59,0.307,16.2,23.336,3.963,193.95,2.07,0.96,2.189436364,14,307,658.279266572637,82.5109306683323,7,6,"NON-REF","V"
"59","NRS18_KY_10019","SAP",71,1.698,156.945,20.991,45.518,1708.65,3.38,74.56,0.984886364,0,1698,592.12976022567,947.69935457006,3,3,"NON-REF","V"
"60","NRS18_MA_10013","NAP",58,0.527,49.913,7.647,2.564,1062.99,4.78,2.28,0.212122727,31.42857143,527,215.712270803949,53.3833021028524,6,5,"NON-REF","C"
"61","NRS18_CT_10018","NAP",58,0.476,23.805,22.86,5.561,2624.17,2.51,3.13,1.121231818,39.04761905,476,644.851904090268,115.781803039767,5,5,"NON-REF","V"
"62","NRS18_NY_10033","NAP",83,0.303,20.32,5.687,3.973,726.22,6.52,1.99,0.28175671,0.980392157,303,160.423131170663,82.7191338746617,7,7,"NON-REF","C"
"63","NRS18_MA_10182","NAP",58,0.673,62.82,3.354,3.432,237.92,7.55,10.29,0,57.14285714,673,94.6121297602257,71.4553404122424,5,5,"NON-REF","C"
"64","NRS18_NY_10036","NAP",83,0.397,22.091,5.939,4.358,704.68,5.03,1.8,0.469713636,39,397,167.5317348378,90.7349573183427,6,6,"NON-REF","C"
"65","NRS18_NY_10015","NAP",83,0.397,27.216,50.341,5.432,1638.16,4.88,3.42,0.356068182,100,397,1420.05641748942,113.095981678118,5,5,"NON-REF","C"
"66","NRS18_MA_10003","NAP",59,6.413,42.341,18.394,20.204,786.71,1.75,2.16,0.696981818,11.42857143,6413,518.871650211566,420.653758067874,5,4,"NON-REF","V"
"67","NRS18_MA_10019","NAP",58,0.241,14.216,10.091,3.407,265.17,2.26,1.23,0.206357143,22.5,241,284.654442877292,70.9348323964189,7,7,"NON-REF","C"
"68","NRS18_KY_10020","SAP",71,0.336,13.591,3.38,25.839,685.84,1.66,3.72,0.181827273,4.545454545,336,95.345557122708,537.976264834478,7,7,"NON-REF","V"
"69","NRS18_RI_10018","NAP",59,0.636,30.466,165.351,9.146,502.45,2.94,1.8,0.303040909,12.38095238,636,4664.34414668547,190.422652508849,7,6,"NON-REF","C"
"70","NRS18_RI_10019","NAP",59,0.578,30.216,41.407,3.271,161.15,5.3,4.73,0.636381818,9.523809524,578,1168.0394922426,68.1032687903394,7,6,"NON-REF","C"
"71","NRS18_MA_10014","NAP",58,0.491,21.466,3.674,1.749,20.25,6.05,1.01,0.102569231,6.666666667,491,103.638928067701,36.4147407870081,7,7,"NON-REF","C"
"72","NRS18_RI_10183","NAP",59,0.602,33.841,17.558,5.807,220.74,2.19,2.54,0.060609091,14.28571429,602,495.289139633286,120.903601915469,7,6,"NON-REF","C"
"73","NRS18_RI_10194","NAP",59,0.308,18.091,17.827,2.031,83.01,4.37,0.35,0.090909091,1.904761905,308,502.877291960508,42.2860712054966,8,7,"REF","C"
"74","NRS18_AL_10007","SAP",67,1.444,27.466,6.871,14.618,1675.08,2.3,5.39,1.1591,8.571428571,1444,193.822284908322,304.351447012284,4,5,"NON-REF","C"
"75","NRS18_AL_10002","SAP",71,1.123,187.966,4.092,5.466,1997.39,1.83,17.24,0.522740909,100,1123,115.430183356841,113.803872579638,4,4,"NON-REF","V"
"76","NRS18_PA_10020","NAP",60,0.302,25.716,14.378,7.512,905.35,2.16,1.87,0.863663636,16.19047619,302,405.58533145275,156.402248594628,6,6,"NON-REF","C"
"77","NRS18_NY_10035","NAP",83,0.381,23.716,4.698,3.694,579.63,3.49,2.95,1.068227273,0,381,132.524682651622,76.910264418072,7,7,"NON-REF","V"
"78","NRS18_AL_10016","SAP",68,1.407,77.591,5.818,66.481,1537.41,2.69,4.71,0.848495455,0,1407,164.118476727786,1384.15573599833,5,5,"NON-REF","C"
"79","NRS18_DE_10015","SAP",64,2.159,34.805,41.737,16.504,1207.36,1.26,1.44,1.000031818,3.80952381,2159,1177.34837799718,343.618571726005,4,5,"NON-REF","C"
"80","NRS18_CT_10008","NAP",59,1.244,67.216,154.103,13.021,2419.19,4.22,3.32,0.702409091,89.52380952,1244,4347.05218617772,271.101394961482,4,4,"NON-REF","C"
"81","NRS18_NY_10027","NAP",58,0.879,38.466,0.85,0.186,572.16,11.12,3.22,0.462140909,15.23809524,879,23.9774330042313,3.87257963772642,6,6,"NON-REF","C"
"82","NRS18_AR_10190","SAP",36,0.242,12.243,2.919,2.062,552.3,1.44,1.66,0,0.952380952,242,82.3413258110014,42.9315011451176,8,8,"REF","C"
"83","NRS18_PA_10002","NAP",62,0.567,65.555,14.652,28.647,404.69,3.73,3.34,1.015186364,0,567,413.314527503526,596.439725171768,5,5,"NON-REF","V"
"84","NRS18_NH_10002","NAP",58,0.344,11.73,6.077,3.818,558.9,3.82,1.43,0.780331818,13,344,171.424541607898,79.4919841765563,8,8,"REF","C"
"85","NRS18_NY_10032","NAP",83,0.116,4.83,13.304,97.161,3345.56,1.37,0.25,0.560627273,0,116,375.289139633286,2022.92317301686,6,6,"NON-REF","C"
"86","NRS18_VT_10001","NAP",58,0.339,4.305,11.696,4.377,428.11,0.51,0.35,2.563883117,0,339,329.929478138223,91.1305434103685,6,6,"NON-REF","V"
"87","NRS18_PA_10006","SAP",67,2.697,463.555,168.415,27.287,1250,2.89,0.04,3.531971531,3.80952381,2697,4750.77574047955,568.124089110972,3,3,"NON-REF","C"
"88","NRS18_PA_10016","SAP",70,0.687,29.305,10.065,21.855,685.45,3.05,7.61,2.325813636,0,687,283.92101551481,455.028107432854,3,3,"NON-REF","C"
"89","NRS18_OH_10037","SAP",70,1.472,82.68,44.442,51.725,3309.52,2.89,14.96,1.388942857,1.818181818,1472,1253.65303244006,1076.9310847387,3,3,"NON-REF","C"
"90","NRS18_RI_10197","NAP",59,0.452,8.518,340.856,5.509,451.98,3.02,2.09,1.045481818,4.761904762,452,9615.11988716502,114.699146366854,8,7,"REF","V"
"91","NRS18_AR_10004","SAP",39,0.402,28.055,3.574,2.125,3400.06,0.93,4.17,0.696986364,7.619047619,402,100.818053596615,44.2431813449927,7,7,"NON-REF","C"
"92","NRS18_AR_10025","SAP",39,0.307,19.555,2.572,2.848,4003.04,0.95,2.49,0.356063636,0,307,72.5528913963329,59.2962731626067,8,8,"REF","C"
"93","NRS18_IL_10027","SAP",71,0.359,99.68,3.444,12.791,2073.7,2.58,2.66,0,6.666666667,359,97.1509167842031,266.312721215907,6,7,"NON-REF","C"
"94","NRS18_PA_10035","SAP",64,0.691,97.68,46.457,13.59,1843.94,3.66,6.15,1.969795455,21.9047619,691,1310.49365303244,282.948157401624,4,5,"NON-REF","C"
"95","NRS18_NY_10007","NAP",61,1.372,123.18,43.876,5.823,1318.12,3.93,16.12,1.075786364,100,1372,1237.68688293371,121.236727045596,3,3,"NON-REF","V"
"96","NRS18_AR_10016","SAP",37,0.263,4.548,1.566,2.907,302.2,1.72,1.35,1.833386364,0,263,44.1748942172073,60.52467207995,8,8,"REF","C"
"97","NRS18_NH_10004","NAP",58,0.381,9.194,9.316,4.367,657.71,3.16,1.51,0.962145455,100,381,262.792665726375,90.9223402040391,6,6,"NON-REF","C"
"98","NRS18_MD_10002","SAP",64,1.598,21.106,17.955,33.643,2542.99,1.89,5.48,1.015159091,0,1598,506.488011283498,700.458047053925,3,3,"NON-REF","C"
