"","SITE_ID","lat","long","ecoregion_3","elevation","slope","ws_area","ws_precip","ws_temp","ws_runoff","bfi_ws","perm_ws","erod_ws"
"37","NRS18_NJ_10183",40.8751201,-74.59050843,58,22615,2.780017921,4.5738,1270.955613,9.371273513,511.9004329,57.07024793,12.92,0.3
"38","NRS18_VT_10002",42.79337093,-72.52476969,59,6586,0.031795289,16201.3761,1170.896692,5.577518737,636.6794903,47.46668515,8.23765921,0.285329163
"39","NRS18_KY_10008",37.98149999,-86.03398954,71,11582,0.006053503,244293.0129,1110.46838,10.96434627,490.3490151,32.74073962,5.258103961,0.343684101
"40","NRS18_SC_10011",34.70968735,-82.46105293,45,23595,0.067520121,927.9927,1462.903224,15.05646439,407.7940652,64.69194251,5.228227026,0.24508311
"41","NRS18_SC_10007",34.96663546,-82.10084104,45,22928,0.103571429,45.7542,1281.98858,15.95986906,473.0560998,57.942661,3.950686691,0.26166411
"42","NRS18_VT_10016",43.17350471,-72.60710706,58,26070,1.033333333,35.7426,1293.801406,5.992997547,725,44.10890366,7.322785416,0.359662336
"43","NRS18_NH_10010",42.95268632,-71.94205599,58,20680,0.057977737,420.0147,1230.519323,7.424319763,565.9148051,45.52979431,12.56750486,0.225962077
"44","NRS18_NC_10020",35.98210036,-78.80607938,45,8299,0.002333333,7.6986,1145.621492,15.22135549,359,26.62169745,3.12,0.27
"45","NRS18_SC_10008",34.93019355,-80.86839803,45,14105,0.047152018,8696.5776,1194.065478,14.61603752,629.1228601,50.17975644,4.632707651,0.252841613
"46","NRS18_GA_10024",33.33285355,-85.21892406,45,27789,0.046,46.1655,1348.417513,15.39536814,496.8562043,51.65060922,6.573166585,0.27
"47","NRS18_CT_10031",41.5886836,-73.35208798,59,14470,3.854666667,2.7792,1255.046894,9.319293836,667,49.02493523,10.0773899,0.221512306
"48","NRS18_CT_10001",41.38091844,-72.78024571,59,8800,3.8625,2.6883,1284.111766,9.915760845,723,49,15.2269702,0.248660864
"49","NRS18_TN_10029",35.54916131,-86.95243071,71,18207,0.260784314,37.3779,1400.77376,14.5828597,628,30.47672823,2.848717103,0.271618068
"50","NRS18_NY_10017",42.08065145,-78.42363781,62,43099,0.088090204,531.1647,1101.573886,6.976736066,632.4780551,37.13366024,6.18061997,0.328239648
"51","NRS18_PA_10015",40.59318131,-76.02771628,67,12465,0.373,342.1467,1302.847902,9.270651005,557.9841963,52.09439372,13.16372306,0.267640381
"52","NRS18_OK_10038",35.96228291,-94.80113987,39,22564,0.12,772.7022,1257.408087,14.79322381,379.233417,37.30163949,4.594958186,0.369102623
"53","NRS18_DE_10016",39.74077165,-75.71143409,64,4820,0.260416667,8.8209,1165.325264,12.02302582,538,53,3.99,0.32
