SID,ALTSID,NOTES,FID,GENUS,SPECIES,GID,ITISTSN,COMMONNAME,OTHERNAMES,FamilyNumber,NATIVE,NONFEED,BENTHIC,SURWCOL,ALGPHYTO,MACVASCU,DETRITUS,INVLVFSH,FSHCRCRB,BLOOD,EGGS,OTHER,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SEASON,REPSTATE,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,EURYHALINE,MINTEMP,MAXTEMP,LONGCENTROID,LATCENTROID,MUCK,CLAYSILT,SAND,GRAVEL,COBBLE,BOULDER,BEDROCK,VEGETAT,DEBRDETR,LWD,PELAGIC,PREFLOT,PREFLEN,POTANADR,LACUSTRINE,LOWLAND,UPLAND,MONTANE,LARGERIV,SMALLRIV,SPRGSUBT,CREEK,SLOWCURR,MODCURR,FASTCURR,AREAKM2,PERIMETER,PATCHES,LATRANGE,LONRANGE,LISTED,REASON,LIST1,LIST2,LIST3,LIST4,LIST5,EXTINCT
Ccallist,Ccallist,61,Cyprinid,Cyprinella,callistia,Cyprinel,163772,Alabama shiner,.,102,1,0,1,0,0,0,0,1,0,0,0,0,9.5,1.0,3.0,1000,1,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,MS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,32.7,878031.92991,1191362.97793,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,68005,1280,1,359,430,0,0,0,0,0,0,0,O
Ccallita,Ccallita,62,Cyprinid,Cyprinella,callitaenia,Cyprinel,163774,bluestripe shiner,.,102,1,0,0,1,0,1,0,1,0,0,0,0,9.0,1.5,3.0,700,1,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,5.00,AL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,32.9,1043762.16382,1068210.61389,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,40622,1074,1,473,152,1,3,1,0,0,0,0,O
Ccamura,Ccamura,63,Cyprinid,Cyprinella,camura,Cyprinel,163776,bluntface shiner,.,102,1,0,1,1,0,0,0,1,0,0,0,0,11.0,1.5,3.0,370,1,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,4.00,TN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-555.0,-555.0,5555555.555555,5555555.555555,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,193247,3621,2,960,1030,0,0,0,0,0,0,0,O
Cchloris,Cchloris,66,Cyprinid,Cyprinella,chloristia,Cyprinel,163778,greenfin shiner,.,102,1,0,1,1,0,0,0,1,0,0,0,0,7.5,1.5,3.5,1500,1,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,NC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,32.5,1310050.90195,1404055.91274,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,28641,686,1,234,207,0,0,0,0,0,0,0,O
Cformosa,Cformosa,82,Cyprinid,Cyprinella,formosa,Cyprinel,163780,beautiful shiner,.,102,1,0,1,1,1,0,0,1,0,0,0,0,9.0,1.5,3.0,273,1,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,MEX,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-555.0,-555.0,-1191535.87824,820032.61185,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,125648,1395,1,529,349,1,2,1,0,0,1,0,O
Cgalactu,Cgalactu,85,Cyprinid,Cyprinella,galactura,Cyprinel,163782,whitetail shiner,.,102,1,0,1,1,0,1,0,1,1,0,0,0,15.0,1.5,3.5,1815,1,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,2.50,NC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6,32.0,833560.00347,1481163.63151,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,190894,2931,1,423,1163,0,0,0,0,0,0,0,O
Cgibbsi,Cgibbsi,86,Cyprinid,Cyprinella,gibbsi,Cyprinel,163784,Tallapoosa shiner,.,102,1,0,0,0,0,1,0,1,0,0,0,0,9.5,-555.0,-555.0,-555,-555,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00,1.50,AL,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,0,-555,-555,-555,-555,0,-1.2,31.5,974053.67649,1227993.43400,0,0,1,1,1,0,0,0,0,0,0,1,0,-555,0,0,1,0,0,1,0,0,0,1,0,11774,533,1,197,149,0,0,0,0,0,0,0,O
Clabrosa,Hlabrosa,380,Cyprinid,Cyprinella,labrosa,Cyprinel,163786,thicklip chub,.,102,1,0,0,0,0,0,0,1,0,0,0,0,5.0,1.5,-555.0,-555,-555,0.00,0.00,0.00,0.00,0.50,1.00,1.00,0.75,0.00,0.00,0.00,0.00,3.25,VA,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,0,-555,-555,-555,-555,0,-1.6,31.4,1327693.52572,1478504.04795,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,44982,1142,3,316,307,0,0,0,0,0,0,0,O
Cleedsi,Cleedsi,99,Cyprinid,Cyprinella,leedsi,Cyprinel,163788,bannerfin shiner,.,102,1,0,1,1,0,0,0,1,1,0,0,0,10.0,1.5,4.0,1000,1,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,5.00,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,33.6,1239862.19968,1025078.38907,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,47096,1498,3,383,334,0,0,0,0,0,0,0,O
Clepida,Clepida,102,Cyprinid,Cyprinella,lepida,Cyprinel,163790,Plateau shiner,Edwards Plateau shiner,102,1,0,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,7.5,-555.0,-555.0,-555,-555,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,6.00,TX,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,0,-555,-555,-555,-555,0,4.1,35.7,-319618.72299,688876.22761,0,0,0,1,0,0,0,0,0,0,0,1,0,-555,0,0,1,0,0,0,1,1,1,0,0,47428,813,1,249,250,1,3,1,0,0,0,1,O
Clutrens,Clutrens,104,Cyprinid,Cyprinella,lutrensis,Cyprinel,163792,red shiner,.,102,1,0,1,0,1,0,0,1,0,0,0,0,9.0,1.5,3.0,1200,1,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,7.00,OK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.6,33.7,-244974.76953,1305563.12129,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,2565171,9430,1,2248,1827,1,4,0,0,0,0,0,O
Cproserp,Cproserp,133,Cyprinid,Cyprinella,proserpina,Cyprinel,163799,proserpine shiner,.,102,1,0,1,0,0,0,0,1,0,0,0,0,7.5,1.5,3.0,300,1,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,5.00,TX,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,35.2,-546713.01986,800264.48504,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,14939,476,1,181,127,1,1,1,0,1,0,1,O
Cpyrrhom,Cpyrrhom,135,Cyprinid,Cyprinella,pyrrhomelas,Cyprinel,163801,fieryblack shiner,.,102,1,0,1,1,0,0,0,1,0,0,0,0,11.0,1.0,3.5,1000,1,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,NC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,32.1,1341938.01436,1453346.67129,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,62057,942,1,310,304,0,0,0,0,0,0,0,O
Cspilopt,Cspilopt,149,Cyprinid,Cyprinella,spiloptera,Cyprinel,163803,spotfin shiner,.,102,1,0,1,1,0,1,1,1,1,0,0,0,12.0,2.0,5.0,7474,1,0.00,0.00,0.00,0.00,0.25,1.00,1.00,0.50,0.00,0.00,0.00,0.00,2.75,NC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.7,29.8,933535.39792,2069895.01854,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1516050,11371,8,1684,2051,0,0,0,0,0,0,0,O
Ctrichro,Ctrichro,152,Cyprinid,Cyprinella,trichroistia,Cyprinel,163806,tricolor shiner,.,102,1,0,1,1,0,1,0,1,0,0,0,0,10.0,1.5,3.5,1500,1,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,AL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,32.5,927742.90577,1252911.28417,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,25459,842,1,288,274,0,0,0,0,0,0,0,O
Cvenusta,Cvenusta,157,Cyprinid,Cyprinella,venusta,Cyprinel,163809,blacktail shiner,.,102,1,0,1,1,0,1,1,1,0,0,1,0,19.0,1.0,3.5,459,1,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,0.00,0.00,0.00,0.00,3.50,TN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,33.8,382781.46936,1054155.63746,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,903620,5590,2,1049,1832,0,0,0,0,0,0,0,O
Cwhipple,Cwhipple,159,Cyprinid,Cyprinella,whipplei,Cyprinel,163811,steelcolor shiner,.,102,1,0,1,1,0,1,1,1,0,0,0,0,16.0,2.0,4.0,7474,0,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.50,0.00,0.00,0.00,0.00,2.00,TN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9,32.5,693318.31485,1585693.30661,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,497304,7179,3,1024,1355,0,0,0,0,0,0,0,O
Cxaenura,Cxaenura,160,Cyprinid,Cyprinella,xaenura,Cyprinel,163814,Altamaha shiner,.,102,1,0,1,1,0,0,0,1,0,0,0,0,11.0,1.0,3.5,1000,1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,GA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,31.7,1089730.47875,1266076.04960,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,10027,371,1,115,120,1,3,1,0,0,0,1,O
Czanema,Czanema,164,Cyprinid,Cyprinella,zanema,Cyprinel,163817,Santee chub,.,102,1,0,1,0,0,0,0,1,0,0,0,0,7.5,1.0,3.5,1000,1,0.00,0.00,0.00,0.00,0.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,32.4,1365238.83049,1432275.51710,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,37102,1213,3,231,433,0,0,0,0,0,0,0,O
.,Nsp,600,Cyprinid,Cyprinidae,.,Notropis,.,.,sawfin shiner,102,1,0,1,1,0,0,1,1,0,0,0,0,5.9,-555.0,-555.0,-555,-555,0.00,0.00,0.00,0.00,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.00,2.00,VA,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,0,-555,-555,-555,-555,0,-2.8,31.5,889245.25904,1467705.25837,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,53523,1026,1,283,375,0,0,0,0,0,0,0,O
Cbovinus,Cbovinus,57,Cyprinod,Cyprinodon,bovinus,Cyprinod,165632,Leon Springs pupfish,.,264,1,0,1,0,1,0,1,1,0,0,0,0,5.0,0.5,2.0,1500,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,12.00,TX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,33.0,-644252.59925,850789.84208,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1717,156,1,48,56,1,1,1,0,0,1,1,O
Cdiaboli,Cdiaboli,76,Cyprinod,Cyprinodon,diabolis,Cyprinod,165633,Devils Hole pupfish,.,264,1,0,1,1,1,0,1,1,0,0,0,0,5.0,0.3,2.0,1000,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,12.00,NV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4,38.7,-1806274.56280,1716307.11776,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,932,112,1,37,34,1,1,1,0,0,0,1,O
Celegans,Celegans,79,Cyprinod,Cyprinodon,elegans,Cyprinod,165634,Comanche Springs pupfish,.,264,1,0,1,1,1,0,1,1,0,0,0,0,5.0,0.5,1.5,1000,1,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,9.00,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,35.2,-688383.53153,898002.25248,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,15564,512,1,91,215,1,1,1,0,0,1,1,O
Ceximius,Ceximius,80,Cyprinod,Cyprinodon,eximius,Cyprinod,165635,Conchos pupfish,Devils River pupfish,264,1,0,1,1,1,1,1,0,0,0,0,0,4.6,-999.0,-999.0,-999,1,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,5.00,MEX,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,0,-555.0,-555.0,-795532.49796,685142.94160,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,61962,1510,1,242,575,1,4,1,0,0,0,0,O
Cmacular,Cmacular,107,Cyprinod,Cyprinodon,macularius,Cyprinod,165637,desert pupfish,.,264,1,0,1,1,1,0,1,1,0,0,0,0,7.2,0.5,2.0,1000,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,10.00,"CA,MX",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.8,41.5,-1608102.07095,1178445.70595,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,115245,1535,1,345,568,1,1,1,0,1,1,0,O
Cypnevad,Cypnevad,163,Cyprinod,Cyprinodon,nevadensis,Cyprinod,165638,Amargosa pupfish,Saratoga Springs pupfish,264,1,0,1,1,1,0,0,1,0,0,0,0,6.5,0.5,1.5,1500,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,12.00,CA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,37.8,-1813757.41508,1642175.28787,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-555,-555,-555,0,1,1,1,1,0,0,9424,367,1,131,101,1,4,0,0,0,0,0,O
Cpecosen,Cpecosen,125,Cyprinod,Cyprinodon,pecosensis,Cyprinod,165639,Pecos pupfish,.,264,1,0,1,1,1,0,1,1,0,0,0,0,5.0,0.5,3.0,1000,1,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,NM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4,35.4,-703213.81918,1021295.82951,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,50559,1329,1,527,322,1,1,1,0,0,1,0,O
Cpisteri,Cpisteri,127,Cyprinod,Cyprinodon,pisteri,Cyprinod,647241,Palomas pupfish,.,264,1,0,0,1,1,0,1,1,0,0,0,0,5.3,0.5,3.0,1000,1,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,6.00,MEX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-555.0,-555.0,-1110072.87925,872912.15270,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,44964,988,1,359,232,0,0,0,0,0,0,0,O
Cradiosu,Cradiosu,136,Cyprinod,Cyprinodon,radiosus,Cyprinod,165640,Owens pupfish,.,264,1,0,1,0,1,1,0,1,0,0,0,0,6.5,0.5,2.0,1500,1,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,6.50,CA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,41.6,-1880139.77272,1631464.01552,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,3900,232,1,74,73,1,1,1,0,0,1,1,O
Crubrofl,Crubrofl,142,Cyprinod,Cyprinodon,rubrofluviatilis,Cyprinod,165641,Red River pupfish,.,264,1,0,1,0,0,0,0,0,0,0,0,0,5.0,-555.0,-555.0,-555,-555,-555.00,-555.00,-555.00,-555.00,-555.00,-555.00,-555.00,-555.00,-555.00,-555.00,-555.00,-555.00,-555.00,Zzz,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,0,-555,-555,-555,-555,0,-2.2,36.9,-308958.32258,1236772.88580,0,0,1,0,0,0,0,0,0,0,0,1,0,-555,0,0,1,0,0,1,0,1,1,1,0,81007,1165,1,316,427,0,0,0,0,0,0,0,O
Csalinus,Csalinus,143,Cyprinod,Cyprinodon,salinus,Cyprinod,165642,Salt Creek pupfish,.,264,1,0,1,1,1,0,0,1,0,0,0,0,6.3,0.3,2.0,1000,1,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,7.00,CA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,46.5,-1842624.29400,1680822.26547,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,8122,354,1,135,100,1,4,0,0,0,0,1,O
Ctularos,Ctularos,153,Cyprinod,Cyprinodon,tularosa,Cyprinod,165643,White Sands pupfish,.,264,1,0,1,1,1,0,0,1,0,0,0,0,5.0,0.5,4.0,6000,1,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,5.00,NM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1,35.8,-964689.37768,1179986.79602,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,3620,217,1,69,70,1,2,0,0,0,0,1,O
Cvariega,Cvariega,155,Cyprinod,Cyprinodon,variegatus,Cyprinod,165631,sheepshead minnow,.,264,1,0,1,0,1,0,1,1,0,0,0,0,9.0,1.0,3.0,-555,-555,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,7.00,AL,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,0,-555,-555,-555,-555,1,-555.0,-555.0,5555555.555555,5555555.555555,0,0,1,0,0,0,0,1,0,0,-555,-555,-555,-555,1,1,0,0,-555,-555,-555,-555,1,0,0,-555,-555,-555,-555,-555,1,4,0,0,0,0,0,O
Ccarpio,Cycarpio,161,Cyprinid,Cyprinus,carpio,Cyprinus,163344,common carp,.,102,0,0,1,1,1,1,1,1,0,0,1,0,120.0,2.0,17.0,2000000,0,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,O
Dluxatus,Dluxatus,169,Catostom,Deltistes,luxatus,Deltiste,163970,Lost River sucker,.,105,1,0,1,0,1,0,1,1,0,0,0,0,74.0,8.0,43.0,236000,0,0.00,0.00,0.00,1.00,1.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,2.75,OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.6,28.3,-2087955.97048,2406939.21924,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,17808,649,1,168,205,1,1,1,1,0,1,1,O
Ddiaboli,Ddiaboli,167,Cyprinid,Dionda,diaboli,Dionda,163514,Devils river minnow,.,102,1,0,1,1,1,1,1,0,0,0,0,0,6.4,1.5,3.5,1000,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,8.00,TX,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,35.4,-476547.52800,774692.15857,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,12805,449,1,172,108,1,1,1,0,1,0,1,O
Depiscop,Depiscop,168,Cyprinid,Dionda,episcopa,Dionda,163513,roundnose minnow,.,102,1,0,1,1,1,1,1,0,0,0,0,0,7.7,1.5,3.5,1000,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,NM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,35.5,-631409.03025,769238.01381,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,366725,3873,1,1079,889,1,4,0,0,0,0,0,O
Dcepedia,Dcepedia,166,Clupeida,Dorosoma,cepedianum,Dorosoma,161737,gizzard shad,.,97,1,0,1,1,1,1,1,1,0,0,0,0,60.0,2.0,6.0,543910,1,0.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.50,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6.8,32.0,452558.59250,1593031.42432,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,4559801,15345,1,2783,3165,0,0,0,0,0,0,0,O
Dpetenes,Dpetenen,170,Clupeida,Dorosoma,petenese,Dorosoma,161738,threadfin shad,.,97,1,0,1,1,1,0,1,1,0,0,0,0,22.0,1.5,3.0,25000,1,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,6.00,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,33.4,444096.47651,1024203.29008,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1187418,8113,1,1522,2055,0,0,0,0,0,0,0,O
Ealabama,Ealabama,173,Elassoma,Elassoma,alabamae,Elassoma,202001,spring pygmy sunfish,.,408,1,0,1,1,0,0,0,1,0,0,0,0,2.5,1.0,1.5,300,0,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,AL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,32.1,809337.49730,1331318.01243,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,4394,346,2,143,73,1,1,1,0,0,0,1,O
Eboehlke,Eboehlke,185,Elassoma,Elassoma,boehlkei,Elassoma,168172,Carolina pygmy sunfish,.,408,1,0,1,0,0,0,0,1,0,0,0,0,3.3,1.0,1.5,76,0,0.00,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.1,32.4,1554915.19552,1349820.45475,1,1,0,0,0,0,0,1,0,0,0,1,0,-555,0,1,0,0,0,0,0,1,1,0,0,8852,628,3,171,250,0,0,0,0,0,0,0,O
Eevergla,Eevergla,209,Elassoma,Elassoma,evergladei,Elassoma,168169,Everglades pygmy sunfish,.,408,1,0,1,1,0,0,0,1,0,0,1,0,3.4,1.0,2.0,500,0,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,9.00,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.3,33.7,1300701.94758,935162.96046,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,258398,3321,1,965,875,0,0,0,0,0,0,0,O
