SID,ALTSID,NOTES,FID,GENUS,SPECIES,GID,ITISTSN,COMMONNAME,OTHERNAMES,FamilyNumber,NATIVE,NONFEED,BENTHIC,SURWCOL,ALGPHYTO,MACVASCU,DETRITUS,INVLVFSH,FSHCRCRB,BLOOD,EGGS,OTHER,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SEASON,REPSTATE,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,EURYHALINE,MINTEMP,MAXTEMP,LONGCENTROID,LATCENTROID,MUCK,CLAYSILT,SAND,GRAVEL,COBBLE,BOULDER,BEDROCK,VEGETAT,DEBRDETR,LWD,PELAGIC,PREFLOT,PREFLEN,POTANADR,LACUSTRINE,LOWLAND,UPLAND,MONTANE,LARGERIV,SMALLRIV,SPRGSUBT,CREEK,SLOWCURR,MODCURR,FASTCURR,AREAKM2,PERIMETER,PATCHES,LATRANGE,LONRANGE,LISTED,REASON,LIST1,LIST2,LIST3,LIST4,LIST5,EXTINCT
Achrysoc,Achrysoc,12,Clupeida,Alosa,chrysochloris,Alosa,161707,skipjack herring,.,97,1,0,0,1,0,0,0,1,1,0,0,0,50.0,2.5,4.0,300000,0,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.0,33.2,531562.88535,1439375.31926,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1525526,10205,1,2041,1588,0,0,0,0,0,0,0,O
Amediocr,Amediocr,19,Clupeida,Alosa,mediocris,Alosa,161704,hickory shad,.,97,1,0,0,0,0,0,0,1,1,0,1,0,61.0,4.0,-555.0,348000,-555,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,VA,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,-555,0,-555,-555,-555,-555,1,-1.3,30.6,1719929.54024,1771234.92033,0,0,0,0,0,0,0,0,0,0,1,1,0,-555,1,1,1,0,1,0,0,0,0,1,0,274503,5402,1,2080,950,0,0,0,0,0,0,0,O
Apseudoh,Apseudoh,30,Clupeida,Alosa,pseudoharengus,Alosa,161706,alewife,.,97,1,0,1,1,0,0,0,1,1,0,0,0,40.0,3.0,5.5,300000,0,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,1866952.83876,2758756.92768,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1280446,17854,3,2500,2924,0,0,0,0,0,0,0,O
Asapidis,Asapidis,34,Clupeida,Alosa,sapidissima,Alosa,161702,American Shad,.,97,1,0,0,1,0,1,0,1,1,0,0,0,76.0,4.0,7.0,500000,1,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,NC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-555.0,-555.0,764936.45955,2491103.27543,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1555551,19851,2,3333,6327,0,0,0,0,0,0,0,O
Aariommu,Aariommu,4,Centrarc,Ambloplites,ariommus,Amblopli,168099,shadow bass,.,349,1,0,1,1,0,0,0,1,1,0,0,0,30.5,3.0,8.0,11000,0,0.00,0.00,0.00,0.50,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,4.00,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1,33.1,770130.03141,1085367.19135,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,316123,3533,3,817,1049,0,0,0,0,0,0,0,O
Acavifro,Acavifro,11,Centrarc,Ambloplites,cavifrons,Amblopli,168098,Roanoke bass,.,349,1,0,1,1,0,0,0,1,1,0,0,0,36.0,2.5,7.0,11500,0,0.00,0.00,0.00,0.00,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.00,1.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2.2,31.9,1475865.86296,1614197.91142,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,52066,831,4,382,182,1,3,1,0,0,1,0,O
Aconstel,Aconstel,15,Centrarc,Ambloplites,constellatus,Amblopli,168100,Ozark bass,.,349,1,0,1,1,0,0,0,1,1,0,0,0,27.9,3.0,8.0,11000,0,0.00,0.00,0.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,2.50,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-4.5,33.6,303946.15563,1472204.13432,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,39649,820,1,240,255,0,0,0,0,0,0,0,O
Arupestr,Arupestr,33,Centrarc,Ambloplites,rupestris,Amblopli,168097,rock bass,.,349,1,0,1,1,0,0,0,1,1,0,0,0,43.0,3.0,8.0,11000,0,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.5,28.7,863228.87068,2268591.43218,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,2204814,14698,1,1993,2413,0,0,0,0,0,0,0,O
Arosae,Arosae,32,Amblyops,Amblyopsis,rosae,Amblyops,164394,Ozark cavefish,.,211,1,0,1,0,0,0,0,1,1,0,0,0,6.2,4.0,10.0,70,0,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5.5,31.3,176569.54345,1515805.08273,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,37387,756,1,227,270,1,2,1,0,0,1,1,O
Aspelaea,Aspelaea,38,Amblyops,Amblyopsis,spelaea,Amblyops,164395,northern cavefish,.,211,1,0,1,0,0,0,0,1,1,0,0,0,11.0,3.0,7.0,70,0,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,"KY,IN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.7,31.3,838884.36224,1719905.08055,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,22622,619,1,263,109,1,2,1,0,0,0,1,O
